Requirements:  APPLICATION_NAME=generation  
INSTANCE  MAX_2D_GRIDPOINTS_PER_PROCESS  DURATION  
89_Acquifer_mig_ScaleXY_4  18.0  21.5705339909  
89_Acquifer_mig_ScaleXY_4  9.0  23.1328279972  
89_Acquifer_mig_ScaleXY_8  9.0  9.35995101929  
89_Acquifer_mig_ScaleXY_4  6.0  28.7275090218  
89_Acquifer_mig_ScaleXY_8  6.0  20.2297489643  
89_Acquifer_mig_ScaleXY_8  4.0  27.923500061  
AANVG_Reduced_TCalib5Small_ScaleXY_2  2961.0  138.17007494  
AANVG_Reduced_TCalib5Small_none_none  5859.0  242.036803961  
AANVG_Reduced_TCalib5Small_ScaleXY_2  5859.0  240.773224115  
AANVG_Reduced_TCalib5Small_ScaleXY_2  1504.0  77.1272621155  
AANVG_Reduced_TCalib5Small_ScaleXY_4  384.0  31.4162709713  
AANVG_Reduced_TCalib5Small_ScaleXY_4  1504.0  66.3461709023  
AANVG_Reduced_TCalib5Small_ScaleXY_8  384.0  22.4225170612  
AANVG_Reduced_TCalib5Small_ScaleXY_4  768.0  54.6600420475  
AANVG_Reduced_TCalib5Small_ScaleXY_8  192.0  32.8895540237  
AANVG_Reduced_TCalib5Small_ScaleXY_8  96.0  18.5569579601  
AANVG_Reduced_TCalib5Small_ScaleXY_8  48.0  21.456897974  
AMT2007_SandLayers_L4GL_FULL_isolated_none_none  400.0  6.61011195183  
AMT2007_SandLayers_L4GL_FULL_isolated_none_none  200.0  9.7035150528  
AMT2007_SandLayers_L4GL_FULL_isolated_none_none  100.0  11.0463840961  
AMT2007_SandLayers_L4GL_FULL_isolated_none_none  50.0  14.4968838692  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2  957.0  8.12672805786  
AMT2007_SandLayers_L4GL_FULL_isolated_none_none  25.0  19.6928591728  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2  72.0  12.1786949635  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2  255.0  13.0310239792  
AANVG_Reduced_TCalib5Small_none_none  11625.0  498.61560607  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2  135.0  16.0086450577  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4  255.0  8.64549612999  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4  135.0  9.79945111275  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4  72.0  11.1177179813  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4  40.0  13.6832020283  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4  20.0  20.9131379128  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8  72.0  6.02897500992  
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4  12.0  37.9727940559  
